"Step","GAT-CONC-3/10P - Test Hard Accuracy","GAT-CONC-1/10P - Test Hard Accuracy","GAT-CONC-2/10P - Test Hard Accuracy"
"0","0.00015625","0.000234375","0.0003125"
"1","0.0001171875","0.00015625","0.000703125"
"2","0.0003125","0","0.0017578125"
"3","0.0008203125","0.0000390625","0.0023828125"
"4","0.0015234375","0.005625","0.0022265625"
"5","0.003671875","0.0052734375","0.0050390625"
"6","0.004140625","0.0017578125","0.001953125"
"7","0.0024609375","0.0025","0.0051171875"
"8","0.006796875","0.0022265625","0.008125"
"9","0.007890625","0.00328125","0.0025"
"10","0.0076171875","0.0017578125","0.0028515625"
"11","0.0118359375","0.0009375","0.0062890625"
"12","0.0159765625","0.001875","0.0066796875"
"13","0.0099609375","0.0027734375","0.0048046875"
"14","0.0166796875","0.0019140625","0.0045703125"
"15","0.017578125","0.0025390625","0.0146875"
"16","0.0233203125","0.0040234375","0.012890625"
"17","0.0187890625","0.0022265625","0.01625"
"18","0.0137109375","0.00359375","0.0187890625"
"19","0.0184765625","0.003515625","0.0216796875"
"20","0.0209765625","0.0028125","0.0152734375"
"21","0.021015625","0.0082421875","0.0180078125"
"22","0.0307421875","0.011953125","0.0229296875"
"23","0.0278125","0.0172265625","0.027578125"
"24","0.0329296875","0.0146484375","0.02921875"
"25","0.031171875","0.016171875","0.0301953125"
"26","0.0351171875","0.0105078125","0.03421875"
"27","0.02453125","0.0166015625","0.0170703125"
"28","0.0402734375","0.0161328125","0.0378515625"
"29","0.04125","0.0169140625","0.0444921875"
"30","0.047265625","0.0304296875","0.0466015625"
"31","0.0503125","0.0248828125","0.05015625"
"32","0.0587109375","0.01921875","0.0516015625"
"33","0.05109375","0.025859375","0.055859375"
"34","0.0664453125","0.039375","0.063359375"
"35","0.061484375","0.0394140625","0.028515625"
"36","0.067109375","0.036953125","0.06421875"
"37","0.0621875","0.0534375","0.0705859375"
"38","0.0780078125","0.009375","0.076796875"
"39","0.07953125","0.0447265625","0.085390625"
"40","0.088984375","0.056328125","0.0813671875"
"41","0.085859375","0.05171875","0.0866015625"
"42","0.084609375","0.0646484375","0.096328125"
"43","0.0992578125","0.0627734375","0.0928125"
"44","0.0966796875","0.06734375","0.1002734375"
"45","0.103359375","0.062578125","0.10984375"
"46","0.1087109375","0.0714453125","0.105625"
"47","0.10625","0.07125","0.112734375"
"48","0.111796875","0.0738671875","0.1080078125"
"49","0.0909765625","0.0865625","0.1314453125"
"50","0.1151953125","0.081171875","0.121875"
"51","0.109453125","0.084140625","0.1166015625"
"52","0.10953125","0.0828515625","0.1238671875"
"53","0.1119921875","0.085859375","0.1213671875"
"54","0.1230078125","0.083671875","0.1216015625"
"55","0.118359375","0.0987109375","0.126328125"
"56","0.1259375","0.091640625","0.1294140625"
"57","0.1298046875","0.099609375","0.1293359375"
"58","0.1316796875","0.069921875","0.1314453125"
"59","0.1267578125","0.1030859375","0.1301953125"
"60","0.0707421875","0.10203125","0.138203125"
"61","0.13","0.1072265625","0.133984375"
"62","0.1309765625","0.105703125","0.1369921875"
"63","0.1276953125","0.106328125","0.1266796875"
"64","0.1388671875","0.1001171875","0.1378515625"
"65","0.141015625","0.1068359375","0.1391015625"
"66","0.135078125","0.10796875","0.136328125"
"67","0.1087890625","0.09609375","0.120234375"
"68","0.1369140625","0.1090234375","0.139375"
"69","0.141015625","0.1141015625","0.1069140625"
"70","0.136328125","0.1132421875","0.140703125"
"71","0.1407421875","0.114609375","0.141640625"
"72","0.1425","0.1059765625","0.063984375"
"73","0.1299609375","0.1033984375","0.144609375"
"74","0.131171875","0.1102734375","0.143984375"
"75","0.1426171875","0.1153125","0.14921875"
"76","0.1460546875","0.0998046875","0.1429296875"
"77","0.14203125","0.1093359375","0.14578125"
"78","0.1424609375","0.1139453125","0.1428125"
"79","0.1416015625","0.1123046875","0.1452734375"
"80","0.14125","0.1101171875","0.1484765625"
"81","0.03265625","0.1176171875","0.0233203125"
"82","0.144296875","0.1155859375","0.14203125"
"83","0.1465625","0.1183984375","0.1464453125"
"84","0.1487890625","0.1199609375","0.1467578125"
"85","0.148984375","0.10421875","0.1490625"
"86","0.1497265625","0.1146484375","0.1455859375"
"87","0.150078125","0.1098828125","0.1479296875"
"88","0.1483984375","0.1205859375","0.151796875"
"89","0.1461328125","0.116171875","0.0984765625"
"90","0.1428125","0.1196875","0.14625"
"91","0.149296875","0.11796875","0.1517578125"
"92","0.1521484375","0.125234375","0.154765625"
"93","0.148046875","0.12171875","0.1489453125"
"94","0.15046875","0.11","0.1550390625"
"95","0.148671875","0.1212890625","0.1583984375"
"96","0.1551953125","0.123515625","0.1590625"
"97","0.157578125","0.10734375","0.157265625"
"98","0.154609375","0.1184375","0.1573046875"
"99","0.15671875","0.1287890625","0.159609375"
"100","0.1529296875","0.1214453125","0.153046875"
"101","0.1533203125","0.12828125","0.158203125"
"102","0.1516796875","0.1244921875","0.1584765625"
"103","0.1526953125","0.126796875","0.156640625"
"104","0.1548828125","0.1312890625","0.1601171875"
"105","0.1551171875","0.1260546875","0.159921875"
"106","0.157734375","0.1267578125","0.1623046875"
"107","0.153984375","0.1237109375","0.159765625"
"108","0.1454296875","0.119375","0.1616015625"
"109","0.1530859375","0.12328125","0.16"
"110","0.1580078125","0.1266015625","0.1587890625"
"111","0.155859375","0.1319921875","0.161171875"
"112","0.1588671875","0.1270703125","0.1591796875"
"113","0.155703125","0.12703125","0.1609765625"
"114","0.160625","0.132265625","0.162421875"
"115","0.15859375","0.1251171875","0.15984375"
"116","0.1578515625","0.1323046875","0.16515625"
"117","0.161796875","0.1299609375","0.1648828125"
"118","0.1608984375","0.1317578125","0.165234375"
"119","0.1612109375","0.1267578125","0.1653125"
"120","0.1615234375","0.128671875","0.166015625"
"121","0.1615625","0.1359765625","0.1666015625"
"122","0.1598828125","0.1301171875","0.166015625"
"123","0.158984375","0.1294921875","0.165"
"124","0.16046875","0.131953125","0.1665234375"
"125","0.1544921875","0.1301953125","0.1669140625"
"126","0.1547265625","0.13375","0.16390625"
"127","0.16234375","0.1319921875","0.170390625"
"128","0.1589453125","0.134921875","0.1695703125"
"129","0.1609765625","0.1326171875","0.168203125"
"130","0.164765625","0.133671875","0.1659375"
"131","0.1601171875","0.13265625","0.1694140625"
"132","0.161796875","0.132421875","0.16828125"
"133","0.161875","0.135234375","0.1693359375"
"134","0.1616796875","0.13453125","0.168359375"
"135","0.159609375","0.1335546875","0.167109375"
"136","0.161484375","0.136171875","0.1650390625"
"137","0.1609375","0.0858203125","0.172109375"
"138","0.1648828125","0.131953125","0.171484375"
"139","0.1650390625","0.1315625","0.171171875"
"140","0.1640625","0.1370703125","0.17234375"
"141","0.1632421875","0.1356640625","0.173125"
"142","0.161171875","0.135859375","0.1734375"
"143","0.1646484375","0.134921875","0.168984375"
"144","0.1594140625","0.1382421875","0.1732421875"
"145","0.1640234375","0.1356640625","0.171875"
"146","0.1623046875","0.1373046875","0.1736328125"
"147","0.1650390625","0.13984375","0.1726953125"
"148","0.164453125","0.13875","0.1749609375"
"149","0.1653125","0.136953125","0.173515625"
"150","0.16296875","0.138359375","0.1740234375"
"151","0.1644921875","0.13625","0.174609375"
"152","0.1666015625","0.138984375","0.17671875"
"153","0.1672265625","0.1375390625","0.1758203125"
"154","0.1648046875","0.1384765625","0.174765625"
"155","0.16515625","0.1383984375","0.1732421875"
"156","0.1645703125","0.136796875","0.17515625"
"157","0.1630859375","0.1381640625","0.1757421875"
"158","0.1669140625","0.139453125","0.17328125"
"159","0.16484375","0.139375","0.177265625"
"160","0.1648828125","0.1409375","0.175859375"
"161","0.16734375","0.1397265625","0.177265625"
"162","0.167734375","0.1388671875","0.176328125"
"163","0.165703125","0.139453125","0.1752734375"
"164","0.165390625","0.1382421875","0.1758203125"
"165","0.1679296875","0.1396875","0.17734375"
"166","0.1667578125","0.139609375","0.17328125"
"167","0.1666796875","0.1404296875","0.1760546875"
"168","0.1655078125","0.139921875","0.175234375"
"169","0.166328125","0.1386328125","0.17921875"
"170","0.16515625","0.1394140625","0.1785546875"
"171","0.1653125","0.1390625","0.1745703125"
"172","0.1671875","0.1420703125","0.177578125"
"173","0.1673828125","0.138515625","0.1773046875"
"174","0.166171875","0.1400390625","0.1781640625"
"175","0.1659375","0.140390625","0.17890625"
"176","0.165078125","0.1389453125","0.176953125"
"177","0.1656640625","0.1422265625","0.177421875"
"178","0.1665625","0.1393359375","0.178046875"
"179","0.1667578125","0.1405078125","0.1780859375"
"180","0.1655078125","0.139765625","0.1804296875"
"181","0.1648046875","0.141328125","0.179375"
"182","0.1673046875","0.1388671875","0.17953125"
"183","0.1661328125","0.1415234375","0.1809375"
"184","0.1673828125","0.14125","0.178359375"
"185","0.166328125","0.1408203125","0.1812890625"
"186","0.1666796875","0.14125","0.17921875"
"187","0.1675","0.14109375","0.1786328125"
"188","0.1665234375","0.140703125","0.1791796875"
"189","0.1684765625","0.1414453125","0.178671875"
"190","0.1683203125","0.1424609375","0.181796875"
"191","0.168046875","0.1420703125","0.1796484375"
"192","0.1685546875","0.1419921875","0.1790625"
"193","0.168125","0.1404296875","0.179375"
"194","0.1662890625","0.1421484375","0.1797265625"
"195","0.1669921875","0.141328125","0.180390625"
"196","0.167734375","0.141328125","0.180625"
"197","0.167734375","0.1410546875","0.1805078125"
"198","0.16765625","0.14171875","0.1791796875"
"199","0.166953125","0.1433203125","0.18015625"
"200","0.1690234375","0.1424609375","0.179453125"
"201","0.167578125","0.1419140625","0.180546875"
"202","0.1671484375","undefined","0.17890625"
"203","0.166015625","undefined","0.1790625"
"204","0.167734375","undefined","0.1808984375"
"205","0.1679296875","undefined","0.1811328125"
"206","0.1685546875","undefined","0.1802734375"
"207","0.16734375","undefined","0.180859375"
"208","0.1683203125","undefined","0.1810546875"
"209","0.1683984375","undefined","0.1796484375"
"210","0.167890625","undefined","0.180390625"
"211","0.1673828125","undefined","0.1798046875"
"212","0.1683203125","undefined","0.1801953125"
"213","0.1690625","undefined","0.18125"
"214","0.167734375","undefined","0.1794140625"
"215","0.1686328125","undefined","0.180859375"
"216","0.168359375","undefined","0.18046875"
"217","0.1684375","undefined","0.18015625"
"218","0.1681640625","undefined","0.180546875"
"219","0.16859375","undefined","0.1802734375"
"220","0.167578125","undefined","0.1813671875"
"221","0.16828125","undefined","0.1807421875"
"222","0.1692578125","undefined","0.1795703125"
"223","0.1689453125","undefined","0.18140625"
"224","0.169609375","undefined","0.1807421875"
"225","0.169296875","undefined","0.1809765625"
"226","0.1673046875","undefined","0.181015625"
"227","0.1683984375","undefined","0.18125"
"228","0.1691015625","undefined","0.1807421875"
"229","0.168671875","undefined","0.1821875"
"230","0.1687890625","undefined","0.18125"
"231","0.16859375","undefined","0.181640625"
"232","0.16828125","undefined","0.181796875"
"233","0.1688671875","undefined","0.1825390625"
"234","0.1692578125","undefined","0.1820703125"
"235","0.1686328125","undefined","0.181640625"
"236","0.1673828125","undefined","0.181171875"
"237","0.1686328125","undefined","0.1815234375"
"238","0.168359375","undefined","0.181484375"
"239","0.170078125","undefined","0.181484375"
"240","0.1689453125","undefined","0.181484375"
"241","0.1690234375","undefined","0.1815625"
"242","0.1691015625","undefined","0.181640625"
"243","0.1685546875","undefined","0.181015625"
"244","0.1683203125","undefined","0.1814453125"
"245","0.1681640625","undefined","0.1817578125"
"246","0.1687109375","undefined","0.181015625"
"247","0.1681640625","undefined","0.18203125"
"248","0.1691015625","undefined","0.1821484375"
"249","0.1687890625","undefined","0.1818359375"
"250","0.16875","undefined","0.18140625"
"251","0.1693359375","undefined","0.181953125"
"252","0.1689453125","undefined","0.1818359375"
"253","0.1695703125","undefined","0.1819921875"
"254","0.1684375","undefined","0.1826953125"
"255","0.16921875","undefined","0.18171875"
"256","0.1694921875","undefined","0.1821484375"
"257","0.168828125","undefined","0.1816796875"
"258","0.169765625","undefined","0.1823828125"
"259","0.1689453125","undefined","0.1822265625"
"260","0.1694921875","undefined","0.1824609375"
"261","0.1697265625","undefined","0.18203125"
"262","0.17","undefined","0.1823828125"
"263","0.1692578125","undefined","0.1824609375"
"264","0.1687109375","undefined","0.182578125"
"265","0.168828125","undefined","0.1825390625"
"266","0.1691796875","undefined","0.1825390625"
"267","0.16875","undefined","0.1826171875"
"268","0.1690625","undefined","0.18234375"
"269","0.1694921875","undefined","0.1826171875"
"270","0.1694921875","undefined","0.18203125"
"271","0.1683203125","undefined","0.18234375"
"272","0.1692578125","undefined","0.1822265625"
"273","0.16953125","undefined","0.1823828125"
"274","0.16875","undefined","0.1823046875"
"275","0.1695703125","undefined","0.182890625"
"276","undefined","undefined","0.1824609375"
"277","undefined","undefined","0.1824609375"
"278","undefined","undefined","0.1820703125"
"279","undefined","undefined","0.1827734375"
"280","undefined","undefined","0.1826953125"
"281","undefined","undefined","0.1825390625"
"282","undefined","undefined","0.183359375"
"283","undefined","undefined","0.1823828125"
"284","undefined","undefined","0.1829296875"
"285","undefined","undefined","0.182421875"
"286","undefined","undefined","0.183203125"
"287","undefined","undefined","0.1822265625"
"288","undefined","undefined","0.182734375"
"289","undefined","undefined","0.182578125"
"290","undefined","undefined","0.182421875"
"291","undefined","undefined","0.1826953125"
"292","undefined","undefined","0.1828125"
"293","undefined","undefined","0.1831640625"
"294","undefined","undefined","0.1823828125"
"295","undefined","undefined","0.182734375"
"296","undefined","undefined","0.1828515625"
"297","undefined","undefined","0.182578125"
"298","undefined","undefined","0.1829296875"
"299","undefined","undefined","0.182421875"
"300","undefined","undefined","0.182265625"
"301","undefined","undefined","0.1827734375"
"302","undefined","undefined","0.18234375"
"303","undefined","undefined","0.1831640625"
"304","undefined","undefined","0.1828125"