"Step","25600 1 rule - Test Accuracy","25600 full - Test Accuracy"
"0","0.0375","0.016796875"
"1","0.042578125","0.01484375"
"2","0.05703125","0.023046875"
"3","0.05234375","0.021484375"
"4","0.05625","0.023046875"
"5","0.060546875","0.015625"
"6","0.051953125","0.01796875"
"7","0.07421875","0.014453125"
"8","0.0625","0.01875"
"9","0.0671875","0.01484375"
"10","0.0890625","0.0203125"
"11","0.099609375","0.018359375"
"12","0.10078125","0.019140625"
"13","0.11015625","0.019921875"
"14","0.10703125","0.018359375"
"15","0.13515625","0.016015625"
"16","0.146484375","0.018359375"
"17","0.153125","0.023828125"
"18","0.15234375","0.018359375"
"19","0.15078125","0.0171875"
"20","0.13359375","0.0234375"
"21","0.16171875","0.021875"
"22","0.16875","0.019921875"
"23","0.125","0.02109375"
"24","0.131640625","0.019921875"
"25","0.160546875","0.019140625"
"26","0.17578125","0.026171875"
"27","0.205078125","0.0203125"
"28","0.20390625","0.022265625"
"29","0.204296875","0.023046875"
"30","0.160546875","0.01640625"
"31","0.195703125","0.0203125"
"32","0.184765625","0.021875"
"33","0.1890625","0.017578125"
"34","0.217578125","0.02265625"
"35","0.243359375","0.028125"
"36","0.237109375","0.0265625"
"37","0.248046875","0.016796875"
"38","0.2375","0.027734375"
"39","0.215234375","0.02421875"
"40","0.22890625","0.0265625"
"41","0.2359375","0.02421875"
"42","0.24375","0.02578125"
"43","0.255078125","0.02421875"
"44","0.23359375","0.020703125"
"45","0.253515625","0.024609375"
"46","0.24375","0.029296875"
"47","0.242578125","0.024609375"
"48","0.245703125","0.02734375"
"49","0.235546875","0.0296875"
"50","0.23046875","0.026171875"
"51","0.25546875","0.02578125"
"52","0.2515625","0.026953125"
"53","0.227734375","0.02890625"
"54","0.265625","0.024609375"
"55","0.255078125","0.0265625"
"56","0.266015625","0.027734375"
"57","0.25234375","0.03203125"
"58","0.264453125","0.028125"
"59","0.2625","0.028125"
"60","0.26484375","0.03515625"
"61","0.24609375","0.02734375"
"62","0.259375","0.02890625"
"63","0.265625","0.02734375"
"64","0.244921875","0.023828125"
"65","0.26484375","0.030859375"
"66","0.2640625","0.034765625"
"67","0.250390625","0.031640625"
"68","0.253515625","0.029296875"
"69","0.26015625","0.028125"
"70","0.2625","0.030859375"
"71","0.259765625","0.03359375"
"72","0.264453125","0.029296875"
"73","0.258984375","0.03046875"
"74","0.261328125","0.02734375"
"75","0.258203125","0.03203125"
"76","0.252734375","0.028515625"
"77","0.2578125","0.0328125"
"78","0.263671875","0.02890625"
"79","0.261328125","0.0296875"
"80","0.265234375","0.0265625"
"81","0.26328125","0.0296875"
"82","0.262890625","0.03046875"
"83","0.268359375","0.02890625"
"84","0.266015625","0.03125"
"85","0.268359375","0.033203125"
"86","0.258203125","0.028125"
"87","0.260546875","0.0296875"
"88","0.257421875","0.030078125"
"89","0.26640625","0.028515625"
"90","0.265234375","0.03046875"
"91","0.266015625","0.03203125"
"92","0.2640625","0.03203125"
"93","0.27109375","0.030859375"
"94","0.26953125","0.03203125"
"95","0.269140625","0.031640625"
"96","0.270703125","0.030859375"
"97","0.269140625","0.0296875"
"98","0.2640625","0.030078125"
"99","0.268359375","0.028125"