"Step","25600 1 rule - Test Loss","25600 full - Test Loss"
"0","439.36593170166014","715.2052139282226"
"1","363.4772529602051","651.786279296875"
"2","309.1251365661621","638.6910049438477"
"3","280.067777633667","626.7313385009766"
"4","280.69672470092775","613.2521347045898"
"5","249.97137336730958","600.2457916259766"
"6","245.9994747161865","587.3181518554687"
"7","242.86718101501464","587.8168167114258"
"8","252.87057037353514","576.386890411377"
"9","233.3412998199463","569.7718322753906"
"10","239.8255386352539","554.2878547668457"
"11","231.27128829956055","548.151229095459"
"12","222.092578125","556.6385879516602"
"13","229.4121608734131","536.2411499023438"
"14","228.7480667114258","549.3602493286132"
"15","219.11364250183107","544.6005653381347"
"16","220.42808952331544","541.8881774902344"
"17","216.07924423217773","543.7979286193847"
"18","212.3256866455078","538.4293067932128"
"19","219.3873203277588","532.0382034301758"
"20","219.89084548950194","524.1234367370605"
"21","208.3151107788086","518.3008514404297"
"22","213.68158035278321","530.844221496582"
"23","217.6794120788574","522.6125137329102"
"24","224.53659858703614","524.0126777648926"
"25","224.14049377441407","525.2788803100586"
"26","208.63858642578126","524.6550506591797"
"27","200.9248062133789","517.5658340454102"
"28","221.1827663421631","516.6072807312012"
"29","204.0234359741211","521.1598442077636"
"30","262.037756729126","518.8183853149415"
"31","212.58727836608887","522.4201744079589"
"32","217.15150032043456","520.5422218322753"
"33","222.53954124450684","530.380940246582"
"34","188.10512313842773","522.0449058532715"
"35","179.39117774963378","514.2233360290527"
"36","187.4503559112549","515.9956466674805"
"37","184.80123901367188","525.6091720581055"
"38","192.12975540161133","528.4193702697754"
"39","211.92771606445314","520.3161613464356"
"40","193.67133750915528","516.9039527893067"
"41","191.19698219299318","519.51187210083"
"42","176.2636863708496","512.6088500976563"
"43","175.2885612487793","505.31456832885743"
"44","174.79242134094238","507.965673828125"
"45","174.74217796325684","507.2921760559082"
"46","177.39838066101075","511.94847640991213"
"47","176.1692657470703","510.5090759277344"
"48","184.75038299560546","508.70372467041017"
"49","185.94709281921388","505.88409729003905"
"50","181.16125946044923","506.86871643066405"
"51","169.01025733947753","508.72760009765625"
"52","168.77008132934571","511.73945770263674"
"53","191.12076072692872","503.5012687683105"
"54","169.94823417663574","511.32119979858396"
"55","173.5088954925537","510.70510330200193"
"56","171.62923011779785","504.28429794311523"
"57","171.86792678833007","514.8133102416992"
"58","169.95164070129394","500.8560173034668"
"59","168.6743419647217","502.6678985595703"
"60","168.34807052612305","501.5976165771484"
"61","173.37827186584474","505.9521339416504"
"62","167.2252056121826","501.6266044616699"
"63","165.20756721496582","509.1811241149902"
"64","168.18085708618165","503.9770362854004"
"65","174.94257507324218","495.62292709350584"
"66","165.6048770904541","502.9087158203125"
"67","168.1855094909668","498.26613845825193"
"68","169.9562080383301","495.5881866455078"
"69","167.2360668182373","497.8314384460449"
"70","166.597806930542","502.49952392578126"
"71","167.7251220703125","502.997078704834"
"72","170.21202583312987","504.59299240112307"
"73","169.3760135650635","497.52264404296875"
"74","166.3874725341797","495.53616485595705"
"75","165.62420768737792","492.2715148925781"
"76","169.1960807800293","500.5350959777832"
"77","168.2497287750244","499.9319274902344"
"78","166.10563583374022","507.9541320800781"
"79","168.42386169433593","499.71655426025393"
"80","169.39740982055665","502.28503570556643"
"81","166.99067077636718","496.1564651489258"
"82","166.5159511566162","494.41295013427737"
"83","171.23866691589356","498.020922088623"
"84","169.6347885131836","501.4726821899414"
"85","167.30671272277831","498.5695259094238"
"86","171.82115020751954","499.8519622802734"
"87","171.4244915008545","499.27793045043944"
"88","171.58424453735353","496.4273292541504"
"89","170.69532165527343","500.06287612915037"
"90","173.74443740844725","499.7241928100586"
"91","170.7405906677246","501.93132934570315"
"92","171.5826442718506","503.01820068359376"
"93","168.88885269165038","505.81678314208983"
"94","173.13334922790528","502.75449600219724"
"95","172.9527786254883","503.9349609375"
"96","173.79881324768067","507.32724990844724"
"97","172.50528106689453","508.0554084777832"
"98","173.15821990966796","507.5219009399414"
"99","174.11918716430665","508.4277038574219"